freq,amp,wind,probe,win_len,expected_len,end_shift_samples,end_shift_T
1.6,0.2,full,12400/250,1569,1560,9,0.057692307692307696
1.6,0.2,full,8804/250,1559,1560,-1,-0.00641025641025641
1.4,0.2,full,9373/170,1789,1790,-1,-0.00558659217877095
1.4,0.2,full,9373/340,1789,1790,-1,-0.00558659217877095
1.4,0.2,full,12400/250,1789,1790,-1,-0.00558659217877095
1.4,0.2,full,8804/250,1786,1790,-4,-0.0223463687150838
1.7,0.1,no,9373/170,1470,1470,0,0.0
1.7,0.1,no,9373/340,1472,1470,2,0.013605442176870748
1.7,0.1,no,12400/250,1461,1470,-9,-0.061224489795918366
1.7,0.1,no,8804/250,1468,1470,-2,-0.013605442176870748
1.5,0.3,full,9373/170,1674,1670,4,0.023952095808383235
1.5,0.3,full,9373/340,1672,1670,2,0.011976047904191617
1.5,0.3,full,12400/250,1673,1670,3,0.017964071856287425
1.5,0.3,full,8804/250,1672,1670,2,0.011976047904191617
1.4,0.2,no,9373/170,1783,1790,-7,-0.03910614525139665
1.4,0.2,no,9373/340,1785,1790,-5,-0.027932960893854747
1.4,0.2,no,12400/250,1782,1790,-8,-0.0446927374301676
1.4,0.2,no,8804/250,1788,1790,-2,-0.0111731843575419
1.5,0.3,no,9373/170,1668,1670,-2,-0.011976047904191617
1.5,0.3,no,9373/340,1667,1670,-3,-0.017964071856287425
1.5,0.3,no,12400/250,1665,1670,-5,-0.029940119760479042
1.5,0.3,no,8804/250,1662,1670,-8,-0.04790419161676647
1.4,0.2,full,9373/170,1778,1790,-12,-0.0670391061452514
1.4,0.2,full,9373/340,1783,1790,-7,-0.03910614525139665
1.4,0.2,full,12400/250,1792,1790,2,0.0111731843575419
1.4,0.2,full,8804/250,1791,1790,1,0.00558659217877095
1.7,0.1,full,9373/170,1470,1470,0,0.0
1.7,0.1,full,9373/340,1471,1470,1,0.006802721088435374
1.7,0.1,full,12400/250,1473,1470,3,0.02040816326530612
1.7,0.1,full,8804/250,1471,1470,1,0.006802721088435374
1.4,0.1,full,9373/170,1790,1790,0,0.0
1.4,0.1,full,9373/340,1790,1790,0,0.0
1.4,0.1,full,12400/250,1785,1790,-5,-0.027932960893854747
1.4,0.1,full,8804/250,1790,1790,0,0.0
1.7,0.2,full,9373/170,1478,1470,8,0.05442176870748299
1.7,0.2,full,9373/340,1482,1470,12,0.08163265306122448
1.7,0.2,full,12400/250,1479,1470,9,0.061224489795918366
1.7,0.2,full,8804/250,1474,1470,4,0.027210884353741496
1.6,0.3,full,9373/170,1571,1560,11,0.07051282051282051
1.6,0.3,full,9373/340,1570,1560,10,0.0641025641025641
1.6,0.3,full,12400/250,1570,1560,10,0.0641025641025641
1.6,0.3,full,8804/250,1570,1560,10,0.0641025641025641
1.7,0.2,no,9373/170,1472,1470,2,0.013605442176870748
1.7,0.2,no,9373/340,1473,1470,3,0.02040816326530612
1.7,0.2,no,12400/250,1475,1470,5,0.034013605442176874
1.7,0.2,no,8804/250,1471,1470,1,0.006802721088435374
1.6,0.3,no,9373/170,1562,1560,2,0.01282051282051282
1.6,0.3,no,9373/340,1564,1560,4,0.02564102564102564
1.6,0.3,no,12400/250,1567,1560,7,0.04487179487179487
1.6,0.3,no,8804/250,1559,1560,-1,-0.00641025641025641
1.6,0.3,no,9373/170,1562,1560,2,0.01282051282051282
1.6,0.3,no,9373/340,1565,1560,5,0.03205128205128205
1.6,0.3,no,12400/250,1561,1560,1,0.00641025641025641
1.6,0.3,no,8804/250,1559,1560,-1,-0.00641025641025641
1.4,0.2,full,9373/170,1788,1790,-2,-0.0111731843575419
1.4,0.2,full,9373/340,1780,1790,-10,-0.055865921787709494
1.4,0.2,full,12400/250,1789,1790,-1,-0.00558659217877095
1.4,0.2,full,8804/250,1785,1790,-5,-0.027932960893854747
1.7,0.2,full,9373/170,1487,1470,17,0.11564625850340136
